facesku,strapsku,title,desc,size,line,type
81750201213,81750201401,Oski in Black,"O.S.K.I. What's that spell? Really, you're asking what that spells?",big,Limited Edition,combo
81750201213,81750201402,Oski in Grey,The Campanile is the sweetest sounding instrument in the world,big,Limited Edition,combo
81750201213,81750201403,Oski in White,My name isn't Yogi,big,Limited Edition,combo
81750201213,81750201404,Oski in Sky Blue,Bears can swim,big,Limited Edition,combo
81750201213,81750201405,Oski in Red,Boooooooooooooooooooooo Cardinal,big,Limited Edition,combo
81750201213,81750201406,Oski in Yellow,Go Bears!,big,Limited Edition,combo
81750201213,81750201407,Oski in Green,St. Oski's Day,big,Limited Edition,combo
81750201213,81750201408,Oski in Blue,"Oski, the #1 stunna",big,Limited Edition,combo
81750201213,81750201409,Oski in Dark Grey,Oski in Grey,big,Limited Edition,combo
81750201213,81750201410,Oski in Lime Green,"I know this is Android and he lives in the Bay, but Oski's a StarTAC guy",big,Limited Edition,combo
81750201213,81750201411,Oski in Orange,"Yeah, we're the ""Golden"" bears, but this suits me well",big,Limited Edition,combo
81750201213,81750201412,Oski in Brown,Auditioning an alternate home jersey,big,Limited Edition,combo
81750201213,81750201413,Oski in Pink,Black bears and grizzly bears and pink bears. Be afraid,big,Limited Edition,combo
81750201213,81750201414,Oski in Purple,Oski's choice for away jersey,big,Limited Edition,combo
81750201113,81750201301,Oski in Black,"O.S.K.I. What's that spell? Really, you're asking what that spells?",bigger,Limited Edition,combo
81750201113,81750201302,Oski in Grey,The Campanile is the sweetest sounding instrument in the world,bigger,Limited Edition,combo
81750201113,81750201303,Oski in White,My name isn't Yogi,bigger,Limited Edition,combo
81750201113,81750201304,Oski in Sky Blue,Bears can swim,bigger,Limited Edition,combo
81750201113,81750201305,Oski in Red,Boooooooooooooooooooooo Cardinal,bigger,Limited Edition,combo
81750201113,81750201306,Oski in Yellow,Go Bears!,bigger,Limited Edition,combo
81750201113,81750201307,Oski in Green,St. Oski's Day,bigger,Limited Edition,combo
81750201113,81750201308,Oski in Blue,"Oski, the #1 stunna",bigger,Limited Edition,combo
81750201113,81750201309,Oski in Dark Grey,Oski in Grey,bigger,Limited Edition,combo
81750201113,81750201310,Oski in Lime Green,"I know this is Android and he lives in the Bay, but Oski's a StarTAC guy",bigger,Limited Edition,combo
81750201113,81750201311,Oski in Orange,"Yeah, we're the ""Golden"" bears, but this suits me well",bigger,Limited Edition,combo
81750201113,81750201312,Oski in Brown,Auditioning an alternate home jersey,bigger,Limited Edition,combo
81750201113,81750201313,Oski in Pink,Black bears and grizzly bears and pink bears. Be afraid,bigger,Limited Edition,combo
81750201113,81750201314,Oski in Purple,Oski's choice for away jersey,bigger,Limited Edition,combo
81750201113,,Oski the Golden Bear,,bigger,Limited Edition,faces
81750201213,,Oski the Golden Bear,,big,Limited Edition,faces
